# b_0,b_1,b_2,b_3,b_4,b_5,ans
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,0,1,1,0
0,0,0,1,0,0,0
0,0,0,1,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,1,0
0,0,1,0,0,0,1
0,0,1,0,0,1,1
0,0,1,0,1,0,1
0,0,1,0,1,1,1
0,0,1,1,0,0,1
0,0,1,1,0,1,1
0,0,1,1,1,0,1
0,0,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,1,0,0,1
0,1,0,1,0,1,1
0,1,0,1,1,0,1
0,1,0,1,1,1,1
0,1,1,0,0,0,0
0,1,1,0,0,1,0
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,1,1,1,0,0,1
0,1,1,1,0,1,1
0,1,1,1,1,0,1
0,1,1,1,1,1,1
1,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,1
1,0,0,0,1,1,1
1,0,0,1,0,0,0
1,0,0,1,0,1,0
1,0,0,1,1,0,1
1,0,0,1,1,1,1
1,0,1,0,0,0,0
1,0,1,0,0,1,0
1,0,1,0,1,0,1
1,0,1,0,1,1,1
1,0,1,1,0,0,0
1,0,1,1,0,1,0
1,0,1,1,1,0,1
1,0,1,1,1,1,1
1,1,0,0,0,0,0
1,1,0,0,0,1,1
1,1,0,0,1,0,0
1,1,0,0,1,1,1
1,1,0,1,0,0,0
1,1,0,1,0,1,1
1,1,0,1,1,0,0
1,1,0,1,1,1,1
1,1,1,0,0,0,0
1,1,1,0,0,1,1
1,1,1,0,1,0,0
1,1,1,0,1,1,1
1,1,1,1,0,0,0
1,1,1,1,0,1,1
1,1,1,1,1,0,0
1,1,1,1,1,1,1
